,domains,categories,comment
0,www.hepper.com,/Pets & Animals/Cats,done
1,www.floppycats.com,/Pets & Animals/Cats,
2,harvestright.com,/Home & Garden,done
3,www.outkick.com,/Sports,done
4,www.pinesol.com,/Home & Garden/Cleaning,no prices
5,waltherarms.com,/Sports,
6,www.moultriemobile.com,/Consumer Electronics,product links are invalid
7,www.aswb.org,/Safety & Survival,not related
8,welovecatsandkittens.com,/Pets & Animals/Cats,
9,www.timesleader.com,/Sports,
10,ultrarunning.com,/Sports,
11,thewoodwhisperer.com,/Home & Garden,
12,www.mygreenmattress.com,/Home & Garden/Bed & Bath,
13,www.holistapet.com,/Pets & Animals,403 Site Error
14,backsplash.com,/Home & Garden/Kitchen & Dining,done
15,www.mops.org,/Home & Garden/Cleaning,not related
16,www.handicappedpets.com,/Pets & Animals,
17,www.silencercentral.com,/Sports,
18,www.silkandsnow.com,/Home & Garden/Bed & Bath,
19,www.sheerid.com,/Safety & Survival,not related
20,cannaflower.com,/Home & Garden,
21,fanimation.com,/Home & Garden,
22,www.forceofnatureclean.com,/Home & Garden,
23,ohcanvas.com,/Gifts & Special Events,
24,pimax.com,/Consumer Electronics,
25,www.incandescentwaxmelts.com,/Home & Garden,
26,odoban.com,/Home & Garden/Cleaning,
27,apogeedigital.com,/Consumer Electronics,
28,www.directliquidation.com,/Consumer Electronics,
29,www.viaircorp.com,/Home & Garden,
30,www.mattressinsider.com,/Home & Garden/Bed & Bath,
31,nationalcatgroomers.com,/Pets & Animals/Cats,
32,theinspiredroom.net,/Home & Garden,
33,ifacountrystores.com,/Home & Garden,
34,petclassifieds.com,/Pets & Animals,
35,www.vikingsteelstructures.com,/Home & Garden,
36,www.dualav.com,/Consumer Electronics,
37,www.urc-automation.com,/Consumer Electronics,
38,www.phifer.com,/Home & Garden,
39,theneomag.com,/Home & Garden,
40,www.daisy.com,/Home & Garden,
41,cookinpellets.com,/Home & Garden,
42,www.johnboos.com,/Home & Garden/Kitchen & Dining,
43,grayguns.com,/Sports,
44,www.viagenpets.com,/Pets & Animals,
45,acultivatednest.com,/Home & Garden,
46,rubnrestore.com,/Home & Garden,
47,citylights.com,/Home & Garden,
48,orchidbliss.com,/Home & Garden,
49,www.rockymountainhardware.com,/Home & Garden,
50,www.hwtm.com,/Gifts & Special Events,
51,theshabbytree.com,/Home & Garden,
52,hosatech.com,/Consumer Electronics,
53,interceramicusa.com,/Home & Garden,
54,www.kawaiibox.com,/Gifts & Special Events,
55,annalee.com,/Gifts & Special Events,
56,www.avaccess.com,/Consumer Electronics,
57,buildmax.com,/Home & Garden,
58,teamcovenant.com,/Games/Board Games,
59,www.estwing.com,/Home & Garden,
60,buildersdiscount.net,/Home & Garden,
61,masonjarlifestyle.com,/Home & Garden,
62,www.nationalsportsid.com,/Sports,
63,cfa.org,/Pets & Animals/Cats,
64,www.berings.com,/Home & Garden,
65,76fireworks.com,/Gifts & Special Events,
66,mythicgames.net,/Games/Board Games,
67,www.historic-newspapers.com,/Gifts & Special Events,
